run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,fitness_max_0,fitness_min_0,fitness_median_0,fitness_mean_0,fitness_std_0,sure_count_0
1,0,0.01560125034302473,0.000417243514675647,0.0018666126998141408,0.003229643916711211,0.0031998874619603157,0.01560125034302473,0.000417243514675647,0.0018666126998141408,0.003229643916711211,0.0031998874619603157,0
1,1,0.020133836194872856,0.0008037823135964572,0.004902253858745098,0.007122236303985119,0.005797155667096376,0.020133836194872856,0.0008037823135964572,0.004902253858745098,0.007122236303985119,0.005797155667096376,0
1,2,0.03190234676003456,0.0009251364390365779,0.012192469090223312,0.011938009411096573,0.007574855349957943,0.03190234676003456,0.0009251364390365779,0.012192469090223312,0.011938009411096573,0.007574855349957943,0
1,3,0.055785372853279114,0.0033207135275006294,0.01648714579641819,0.01866418868303299,0.012368649244308472,0.055785372853279114,0.0033207135275006294,0.01648714579641819,0.01866418868303299,0.012368649244308472,0
1,4,0.12357748299837112,0.006280101835727692,0.025728419423103333,0.03170774132013321,0.022601984441280365,0.12357748299837112,0.006280101835727692,0.025728419423103333,0.03170774132013321,0.022601984441280365,0
1,5,0.23506297171115875,0.00247102789580822,0.043603479862213135,0.054255980998277664,0.05409339442849159,0.23506297171115875,0.00247102789580822,0.043603479862213135,0.054255980998277664,0.05409339442849159,0
1,6,0.24224302172660828,0.0039397068321704865,0.07009561359882355,0.09099680930376053,0.06411131471395493,0.24224302172660828,0.0039397068321704865,0.07009561359882355,0.09099680930376053,0.06411131471395493,0
1,7,0.2691100239753723,0.022454483434557915,0.14168383181095123,0.1408880054950714,0.07902539521455765,0.2691100239753723,0.022454483434557915,0.14168383181095123,0.1408880054950714,0.07902539521455765,0
1,8,0.35139352083206177,0.059007152915000916,0.21378152072429657,0.20013213157653809,0.0693807303905487,0.35139352083206177,0.059007152915000916,0.21378152072429657,0.20013213157653809,0.0693807303905487,0
1,9,0.35139352083206177,0.06517486274242401,0.17942625284194946,0.17812460660934448,0.07622970640659332,0.35139352083206177,0.06517486274242401,0.17942625284194946,0.17812460660934448,0.07622970640659332,0
1,10,0.3631019592285156,0.05896013230085373,0.1698230504989624,0.18939629197120667,0.09486506134271622,0.3631019592285156,0.05896013230085373,0.1698230504989624,0.18939629197120667,0.09486506134271622,0
2,0,0.012586095370352268,0.0005273491842672229,0.0018092404352501035,0.00249717989936471,0.002331005409359932,0.012586095370352268,0.0005273491842672229,0.0018092404352501035,0.00249717989936471,0.002331005409359932,0
2,1,0.013597334735095501,0.0005111374775879085,0.0038805310614407063,0.0046118805184960365,0.0033638575114309788,0.013597334735095501,0.0005111374775879085,0.0038805310614407063,0.0046118805184960365,0.0033638575114309788,0
2,2,0.02140488475561142,0.0012248880229890347,0.0077957515604794025,0.00899508036673069,0.0053261355496943,0.02140488475561142,0.0012248880229890347,0.0077957515604794025,0.00899508036673069,0.0053261355496943,0
2,3,0.04545842111110687,0.0015972243854776025,0.012983128428459167,0.015294166281819344,0.011260137893259525,0.04545842111110687,0.0015972243854776025,0.012983128428459167,0.015294166281819344,0.011260137893259525,0
2,4,0.06190389394760132,0.0012253314489498734,0.020290587097406387,0.024770298972725868,0.016114501282572746,0.06190389394760132,0.0012253314489498734,0.020290587097406387,0.024770298972725868,0.016114501282572746,0
2,5,0.10159094631671906,0.006259310524910688,0.03426087275147438,0.0339694581925869,0.02081424929201603,0.10159094631671906,0.006259310524910688,0.03426087275147438,0.0339694581925869,0.02081424929201603,0
2,6,0.3392738997936249,0.005744520574808121,0.04603496193885803,0.0570489726960659,0.059612639248371124,0.3392738997936249,0.005744520574808121,0.04603496193885803,0.0570489726960659,0.059612639248371124,0
3,0,0.021511131897568703,0.000253120728302747,0.0014544297009706497,0.0029774813447147608,0.004392376635223627,0.021511131897568703,0.000253120728302747,0.0014544297009706497,0.0029774813447147608,0.004392376635223627,0
3,1,0.027451621368527412,0.0008165310136973858,0.0043230620212852955,0.007611858192831278,0.007357447873800993,0.027451621368527412,0.0008165310136973858,0.0043230620212852955,0.007611858192831278,0.007357447873800993,0
