run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,fitness_max_0,fitness_min_0,fitness_median_0,fitness_mean_0,fitness_std_0,sure_count_0
57,4,0.1858585625886917,0.008817899972200394,0.0637003555893898,0.06734073907136917,0.03455367684364319,0.1858585625886917,0.008817899972200394,0.0637003555893898,0.06734073907136917,0.03455367684364319,0
57,5,0.33621034026145935,0.021740639582276344,0.0913054421544075,0.10496778041124344,0.0658854991197586,0.33621034026145935,0.021740639582276344,0.0913054421544075,0.10496778041124344,0.0658854991197586,0
57,6,0.3667903244495392,0.026427149772644043,0.1619187891483307,0.1652631163597107,0.1009935662150383,0.3667903244495392,0.026427149772644043,0.1619187891483307,0.1652631163597107,0.1009935662150383,0
57,7,0.43359044194221497,0.026489082723855972,0.22144633531570435,0.24366164207458496,0.10955418646335602,0.43359044194221497,0.026489082723855972,0.22144633531570435,0.24366164207458496,0.10955418646335602,0
58,0,0.06169728934764862,0.0018640351481735706,0.009364594705402851,0.014089550822973251,0.014682159759104252,0.06169728934764862,0.0018640351481735706,0.009364594705402851,0.014089550822973251,0.014682159759104252,0
58,1,0.11754534393548965,0.0052786292508244514,0.015048118308186531,0.03018287569284439,0.028599809855222702,0.11754534393548965,0.0052786292508244514,0.015048118308186531,0.03018287569284439,0.028599809855222702,0
58,2,0.17708507180213928,0.004417595453560352,0.03816232830286026,0.05973781645298004,0.046783238649368286,0.17708507180213928,0.004417595453560352,0.03816232830286026,0.05973781645298004,0.046783238649368286,0
58,3,0.22312885522842407,0.015142137184739113,0.07657267153263092,0.08687973022460938,0.05893009155988693,0.22312885522842407,0.015142137184739113,0.07657267153263092,0.08687973022460938,0.05893009155988693,0
58,4,0.3713625371456146,0.027124175801873207,0.13499107956886292,0.1507112681865692,0.08812571316957474,0.3713625371456146,0.027124175801873207,0.13499107956886292,0.1507112681865692,0.08812571316957474,0
58,5,0.3714267313480377,0.022811347618699074,0.2010846585035324,0.20989786088466644,0.08455847203731537,0.3714267313480377,0.022811347618699074,0.2010846585035324,0.20989786088466644,0.08455847203731537,0
58,6,0.3714267313480377,0.10428960621356964,0.26262369751930237,0.2528306245803833,0.07479022443294525,0.3714267313480377,0.10428960621356964,0.26262369751930237,0.2528306245803833,0.07479022443294525,0
58,7,0.4156024158000946,0.04137476161122322,0.2524356544017792,0.24468675255775452,0.0952308252453804,0.4156024158000946,0.04137476161122322,0.2524356544017792,0.24468675255775452,0.0952308252453804,0
58,8,0.4674272835254669,0.04999952018260956,0.229118213057518,0.252968966960907,0.1310787796974182,0.4674272835254669,0.04999952018260956,0.229118213057518,0.252968966960907,0.1310787796974182,0
58,9,0.4674272835254669,0.03261716663837433,0.2305937260389328,0.24612480401992798,0.11487337946891785,0.4674272835254669,0.03261716663837433,0.2305937260389328,0.24612480401992798,0.11487337946891785,0
58,10,0.4674272835254669,0.0052935779094696045,0.32217803597450256,0.3125709295272827,0.12667743861675262,0.4674272835254669,0.0052935779094696045,0.32217803597450256,0.3125709295272827,0.12667743861675262,0
59,0,0.02484990283846855,0.0012832523789256811,0.005631669890135527,0.007771627977490425,0.006077345460653305,0.02484990283846855,0.0012832523789256811,0.005631669890135527,0.007771627977490425,0.006077345460653305,0
59,1,0.029864411801099777,0.0038425838574767113,0.013184231705963612,0.015149821527302265,0.007171031087636948,0.029864411801099777,0.0038425838574767113,0.013184231705963612,0.015149821527302265,0.007171031087636948,0
59,2,0.07345279306173325,0.004193131346255541,0.022746095433831215,0.025599323213100433,0.014385159127414227,0.07345279306173325,0.004193131346255541,0.022746095433831215,0.025599323213100433,0.014385159127414227,0
59,3,0.13686880469322205,0.006765694823116064,0.027741895988583565,0.04074743762612343,0.027471346780657768,0.13686880469322205,0.006765694823116064,0.027741895988583565,0.04074743762612343,0.027471346780657768,0
59,4,0.39002615213394165,0.011818367056548595,0.039514750242233276,0.07908765226602554,0.08947847038507462,0.39002615213394165,0.011818367056548595,0.039514750242233276,0.07908765226602554,0.08947847038507462,0
59,5,0.43451207876205444,0.00826956331729889,0.09869632869958878,0.16667571663856506,0.13999131321907043,0.43451207876205444,0.00826956331729889,0.09869632869958878,0.16667571663856506,0.13999131321907043,0
59,6,0.43451207876205444,0.01278337836265564,0.13719163835048676,0.196666419506073,0.15014366805553436,0.43451207876205444,0.01278337836265564,0.13719163835048676,0.196666419506073,0.15014366805553436,0
59,7,0.44009584188461304,0.01423016469925642,0.27391666173934937,0.273419588804245,0.13714294135570526,0.44009584188461304,0.01423016469925642,0.27391666173934937,0.273419588804245,0.13714294135570526,0
60,0,0.026038240641355515,0.001865518861450255,0.006477214861661196,0.00786876305937767,0.005700701382011175,0.026038240641355515,0.001865518861450255,0.006477214861661196,0.00786876305937767,0.005700701382011175,0
60,1,0.027649959549307823,0.004258453380316496,0.009081341326236725,0.012045812793076038,0.007142935413867235,0.027649959549307823,0.004258453380316496,0.009081341326236725,0.012045812793076038,0.007142935413867235,0
60,2,0.08124294131994247,0.007630675099790096,0.01958145946264267,0.02596358023583889,0.01857069507241249,0.08124294131994247,0.007630675099790096,0.01958145946264267,0.02596358023583889,0.01857069507241249,0
60,3,0.22882172465324402,0.008949283510446548,0.03496912494301796,0.051173266023397446,0.052023667842149734,0.22882172465324402,0.008949283510446548,0.03496912494301796,0.051173266023397446,0.052023667842149734,0
60,4,0.22882172465324402,0.016750698909163475,0.042337432503700256,0.08326023072004318,0.0770106092095375,0.22882172465324402,0.016750698909163475,0.042337432503700256,0.08326023072004318,0.0770106092095375,0
60,5,0.30762994289398193,0.03251691907644272,0.130963996052742,0.13984274864196777,0.07552748173475266,0.30762994289398193,0.03251691907644272,0.130963996052742,0.13984274864196777,0.07552748173475266,0
61,0,0.04574693739414215,0.00141721882391721,0.006780573166906834,0.011344177648425102,0.011538710445165634,0.04574693739414215,0.00141721882391721,0.006780573166906834,0.011344177648425102,0.011538710445165634,0
61,1,0.08295630663633347,0.004057431127876043,0.014985612593591213,0.025684138759970665,0.0226933304220438,0.08295630663633347,0.004057431127876043,0.014985612593591213,0.025684138759970665,0.0226933304220438,0
61,2,0.17832762002944946,0.0073176296427845955,0.043529730290174484,0.05902861803770065,0.043431855738162994,0.17832762002944946,0.0073176296427845955,0.043529730290174484,0.05902861803770065,0.043431855738162994,0
